date,hour,location,district,crime_category,is_valid,latitude,longitude,geocode_method
2016-01-02,15,臺中市神岡區福庄街168巷,神岡區,機車竊盜,1,24.275940523459674,120.66930157208367,jittered
2016-01-04,17,臺中市北區五權路和英士路,北區,機車竊盜,1,24.17114607218198,120.6781294615181,jittered
2016-01-09,17,臺中市清水區港口路202巷,清水區,機車竊盜,1,24.2721491,120.5353753,geocoded
2016-01-09,23,臺中市南區南平路,南區,機車竊盜,1,24.1222261,120.6642519,geocoded
2016-01-11,18,臺中市和平區東關路1段,和平區,機車竊盜,1,24.1888332,120.9909012,geocoded
2016-01-11,20,臺中市大雅區神林南路197巷,大雅區,機車竊盜,1,24.22499,120.6565261,geocoded
2016-01-12,13,臺中市南區復興路3段,南區,機車竊盜,1,24.1278751,120.6671931,geocoded
2016-01-16,10,臺中市大里區德芳路1段83巷,大里區,機車竊盜,1,24.1113959,120.6894275,geocoded
2016-01-17,8,臺中市北區中平路,北區,機車竊盜,1,24.1713473,120.6717396,geocoded
2016-01-17,12,臺中市西屯區福雅路256巷,西屯區,機車竊盜,1,24.1910082,120.6247359,geocoded
2016-01-18,17,臺中市西屯區逢福里櫻城五街,西屯區,機車竊盜,1,24.1717409,120.6507488,geocoded
2016-01-18,22,臺中市中區光復路82巷,中區,機車竊盜,1,24.15059781896522,120.67825570801274,jittered
2016-01-19,21,臺中市西區中華路2段24巷,西區,機車竊盜,1,24.14303791498894,120.65911144472337,jittered
2016-01-20,2,臺中市梧棲區雲集街與中興路217巷,梧棲區,機車竊盜,1,24.24965707003462,120.53755324783994,jittered
2016-01-20,20,臺中市霧峰區柳豐東路,霧峰區,機車竊盜,1,24.0714362,120.6894883,geocoded
2016-01-21,15,臺中市霧峰區中正路,霧峰區,機車竊盜,1,24.0645743,120.6988046,geocoded
2016-01-21,17,臺中市大甲區中山路與光明路口1段,大甲區,機車竊盜,1,24.350499359014176,120.60309408176468,jittered
2016-01-21,17,臺中市大甲區甲東路,大甲區,機車竊盜,1,24.3410151,120.6355181,geocoded
2016-01-22,8,臺中市東區東光路太原火車站,東區,機車竊盜,1,24.1633539,120.7000824,geocoded
2016-01-22,9,臺中市中區成功路,中區,機車竊盜,1,24.1416335,120.6819723,geocoded
2016-01-22,13,臺中市大里區至善路,大里區,機車竊盜,1,24.0930462,120.7040699,geocoded
2016-01-27,3,臺中市太平區鵬儀路,太平區,機車竊盜,1,24.1205577,120.7234225,geocoded
2016-01-30,12,臺中市西區民權路85巷,西區,機車竊盜,1,24.1371511,120.6799706,geocoded
2016-01-31,2,臺中市梧棲區梧北路43巷,梧棲區,機車竊盜,1,24.26000241042265,120.53209359810799,jittered
2016-01-31,23,臺中市中區中華路1段193巷,中區,機車竊盜,1,24.1464024,120.6772889,geocoded
2016-02-01,6,臺中市南區建國南路,南區,機車竊盜,1,24.12974,120.66854,geocoded
2016-02-02,17,臺中市西屯區順和六街,西屯區,機車竊盜,1,24.175986,120.5881697,geocoded
2016-02-02,19,臺中市西屯區臺灣大道4段,西屯區,機車竊盜,1,24.1826382,120.5936403,geocoded
2016-02-02,22,臺中市南區建國南路1段,南區,機車竊盜,1,24.1239933,120.6565987,geocoded
2016-02-03,19,臺中市東區信義街與大公街口,東區,機車竊盜,1,24.134668884052715,120.70769524072114,jittered
2016-02-03,19,臺中市大里區文芳街,大里區,機車竊盜,1,24.083199341690296,120.69689881689548,jittered
2016-02-06,14,臺中市新社區興安路,新社區,機車竊盜,1,24.2417058,120.8088374,geocoded
2016-02-07,1,臺中市中區中山路,中區,機車竊盜,1,24.1449696,120.6749905,geocoded
2016-02-07,10,臺中市東區大振街與建功街口,東區,機車竊盜,1,24.135408598711688,120.69037764583179,jittered
2016-02-07,21,臺中市龍井區中山一路1段,龍井區,機車竊盜,1,24.2136509,120.5490095,geocoded
2016-02-08,12,臺中市東區建成路與樂業路,東區,機車竊盜,1,24.12362697467434,120.69929805863848,jittered
2016-02-09,17,臺中市北區太平路19巷,北區,機車竊盜,1,24.165458479594527,120.6909265951156,jittered
2016-02-09,22,臺中市北屯區太原火車站,北屯區,機車竊盜,1,24.1633539,120.7000824,geocoded
2016-02-11,7,臺中市中區雙十路1段,中區,機車竊盜,1,24.1426366,120.6857395,geocoded
2016-02-12,20,臺中市大里區大明路,大里區,機車竊盜,1,24.1152766,120.6867947,geocoded
2016-02-13,2,臺中市豐原區中正路,豐原區,機車竊盜,1,24.2490723,120.7006228,geocoded
2016-02-13,9,臺中市豐原區明義街50巷口,豐原區,機車竊盜,1,24.247292876769325,120.71874848052609,jittered
2016-02-13,13,臺中市沙鹿區鎮南路2段,沙鹿區,機車竊盜,1,24.2325516,120.5656976,geocoded
